Country;S;;N;;E;;W;;Capital;latitude;;longitude;
Guyana;1.183;N;8.400;N;56.500;W;61.417;W;Georgetown;6.500;N;58.117;W
Haiti;18.017;N;20.067;N;71.633;W;74.467;W;Port-au-Prince;18.383;N;72.200;W
Honduras;12.983;N;17.400;N;83.583;W;88.717;W;Tegucigalpa;14.050;N;87.133;W
Hungary;45.750;N;48.583;N;22.917;E;16.133;E;Budapest;47.283;N;19.050;E
Chad;7.450;N;23.433;N;24.000;E;13.667;E;N'Djamena;12.083;N;14.583;E
Chile;56.533;S;17.317;S;66.400;W;109.450;W;Santiago;33.233;S;70.400;W
China;8.850;N;53.567;N;134.767;E;73.550;E;Beijing;39.533;N;116.200;E
Iceland;63.283;N;67.133;N;13.233;W;24.533;W;Reykjavik;64.083;N;21.567;W
India;6.733;N;35.500;N;97.333;E;68.050;E;New Delhi;28.367;N;77.117;E
Indonesia;11.000;S;6.067;N;141.083;E;94.750;E;Jakarta;6.083;S;106.483;E
Iran;25.067;N;39.783;N;63.300;E;44.033;E;Tehran;35.433;N;51.283;E
Iraq;29.067;N;37.383;N;48.533;E;38.833;E;Baghdad;33.200;N;44.283;E
Ireland;51.383;N;55.433;N;5.983;W;10.667;W;Dublin;53.200;N;6.150;W
Israel;29.500;N;33.283;N;35.667;E;34.250;E;Jerusalem;31.700;N;35.100;W
Italy;35.500;N;47.083;N;18.517;E;6.617;E;Rome;41.533;N;12.283;E
Jamaica;17.700;N;18.517;N;76.200;W;78.367;W;Kingston;18.000;N;76.500;W
Japan;20.417;N;45.517;N;153.983;E;122.933;E;Tokyo;35.650;N;139.833;E
Jordan;29.183;N;33.367;N;39.333;E;34.917;E;Amman;31.567;N;35.517;E
Kazakhstan;40.567;N;55.717;N;87.500;E;50.000;E;Astana;51.100;N;71.283;E
Kenya;4.717;S;5.583;N;41.000;E;35.000;E;Nairobi;1.167;S;36.467;E
Kiribati;11.433;S;3.383;N;150.217;W;169.533;E;Tarawa;1.300;N;173.000;E
Kuwait;28.533;N;30.100;N;48.667;E;46.567;E;Kuwait;29.300;N;48.000;E
Kyrgyzstan;39.167;N;43.267;N;80.333;E;69.333;E;Bishkek;42.533;N;74.450;E
Laos;13.917;N;22.483;N;106.667;E;100.133;E;Vientiane;17.567;N;102.350;E
Latvia;55.667;N;58.083;N;28.250;E;21.000;E;Riga;56.517;N;24.067;E
Lebanon;33.050;N;34.717;N;36.633;E;35.100;E;Beirut;33.517;N;35.300;E
Lesotho;30.667;S;28.567;S;29.467;E;27.000;E;Maseru;29.167;S;27.300;E
Liberia;4.350;N;8.550;N;7.367;W;11.500;W;Monrovia;6.167;N;10.467;W
Libya;19.500;N;33.167;N;25.083;E;9.333;E;Tripoli;32.483;N;13.067;E
Liechtenstein;47.050;N;47.233;N;9.550;E;9.467;E;Vaduz;47.067;N;9.300;E
Lithuania;53.900;N;56.450;N;26.833;E;20.967;E;Vilnius;54.367;N;25.183;E
Luxembourg;49.450;N;50.183;N;6.533;E;5.733;E;Luxembourg;49.367;N;6.083;E
Madagascar;25.617;S;11.950;S;50.667;E;43.500;E;Antananarivo;18.550;S;47.300;E
Malawi;17.117;S;9.367;S;35.917;E;32.667;E;Lilongwe;14.000;S;33.467;E
Malaysia;0.850;N;7.250;N;119.167;E;99.617;E;Kuala Lumpur;3.083;N;101.400;E
Maldives;0.700;S;7.117;N;73.517;E;72.700;E;Male;4.000;N;73.267;E
Mali;10.150;N;25.000;N;4.000;E;12.000;W;Bamako;12.333;N;7.533;W
Malta;35.783;N;36.083;N;14.567;E;14.200;E;Valletta;35.533;N;14.300;E
Mauritania;14.717;N;27.317;N;4.750;W;17.050;W;Nouakchott;20.100;S;57.283;E
Mexico;14.533;N;32.717;N;86.700;W;118.367;W;Mexico;19.183;N;99.083;W
Moldova;45.467;N;48.467;N;30.167;E;26.667;E;Chisinau;47.017;N;28.500;E
Mozambique;26.867;S;10.450;S;40.750;E;30.250;E;Maputo;25.567;S;32.317;E
Myanmar;9.600;N;28.533;N;101.167;E;92.250;E;Yangon;16.433;N;96.200;E
Namibia;28.967;S;16.933;S;25.250;E;11.750;E;Windhoek;22.350;S;17.033;E
Nepal;26.367;N;30.433;N;88.250;E;80.050;E;Kathmandu;27.433;N;85.200;E
Netherlands;12.017;N;53.533;N;7.217;E;70.017;W;Amsterdam;52.217;N;4.533;E
New Zealand;52.617;S;29.217;S;175.750;W;166.700;E;Wellington;41.183;S;174.450;E
Nicaragua;10.717;N;15.017;N;82.767;W;87.667;W;Managua;12.050;N;86.200;W
Niger;11.700;N;23.517;N;16.000;E;0.117;E;Niamey;13.267;N;2.050;E
Nigeria;4.283;N;13.833;N;13.250;E;2.750;E;Abuja;9.050;N;7.317;E
North Korea;37.667;N;43.000;N;130.667;E;124.167;E;Pyongyang;39.083;N;125.283;E
North Macedonia;40.867;N;42.350;N;23.000;E;20.500;E;Skopje;42.000;N;21.250;E
Norway;57.950;N;80.817;N;33.500;E;9.067;W;Oslo;59.533;N;10.433;E
Oman;16.650;N;26.500;N;59.833;E;52.000;E;Masqat;23.367;N;58.350;E
Pakistan;23.700;N;37.100;N;77.500;E;61.000;E;Islamabad;33.383;N;73.083;E
Palau;2.783;N;8.167;N;134.700;E;131.117;E;Koror;7.200;N;134.267;E
Panama;7.183;N;9.633;N;77.150;W;83.067;W;Panama;9.000;N;79.250;W
Papua New Guinea;11.767;S;0.867;S;159.400;E;140.917;E;Port Moresby;9.233;S;147.067;E
Paraguay;27.717;S;19.283;S;54.250;W;62.583;W;Asuncion;25.100;S;57.283;W
Peru;18.350;S;0.017;S;68.650;W;81.317;W;Lima;12.000;S;77.000;W
Philippines;4.583;N;21.117;N;126.567;E;114.283;E;Manila;14.400;N;121.017;E
Poland;49.000;N;54.833;N;24.150;E;14.117;E;Warsaw;52.117;N;21.000;E
Portugal;30.050;N;42.117;N;6.183;W;9.500;W;Lisbon;38.417;N;9.083;W
Qatar;24.467;N;26.150;N;51.650;E;50.750;E;Doha;25.133;N;51.350;E
Romania;43.633;N;48.250;N;29.667;E;20.317;E;Bucuresti;44.267;N;26.100;E
Russia;41.183;N;81.850;N;169.017;W;19.633;E;Moskva;55.450;N;37.350;E
Rwanda;2.850;S;1.050;S;30.883;E;28.867;E;Kigali;1.583;S;30.033;E
Saint Kitts and Nevis;17.100;N;17.433;N;62.517;W;62.850;W;Basseterre;17.167;N;62.417;W
Saint Lucia;13.700;N;14.117;N;60.900;W;61.067;W;Castries;14.017;N;60.567;W
Saint Vincent and the Grenadines;12.533;N;13.367;N;61.133;W;61.433;W;Kingstown;13.083;N;61.100;W
Samoa;14.067;S;13.417;S;171.333;W;172.800;W;Apia;13.500;S;171.500;W
San Marino;43.900;N;43.983;N;12.517;E;12.400;E;San Marino;43.533;N;12.300;E
Senegal;12.300;N;16.683;N;11.367;W;17.450;W;Dakar;14.333;N;17.283;W
Sierra Leone;6.933;N;9.983;N;10.283;W;13.300;W;Freetown;8.300;N;13.167;W
Slovakia;47.733;N;49.600;N;22.500;E;16.833;E;Bratislava;48.100;N;17.067;E
Slovenia;45.417;N;46.867;N;16.600;E;13.383;E;Ljubljana;46.033;N;14.317;E
Solomon Islands;11.783;S;5.217;S;170.167;E;155.550;E;Honiara;9.267;S;159.567;E
Somalia;1.667;S;11.983;N;51.450;E;41.000;E;Mogadishu;2.017;N;45.250;E
South Africa;46.983;S;22.333;S;38.000;E;16.500;E;Pretoria;25.433;S;28.117;E
South Korea;33.100;N;38.600;N;131.867;E;124.650;E;Seoul;37.300;N;126.567;E
Spain;27.633;N;43.783;N;4.317;E;18.150;W;Madrid;40.250;N;3.450;W
Sudan;8.683;N;22.200;N;38.583;E;21.833;E;Khartoum;15.300;N;32.350;E
Suriname;1.833;N;6.017;N;54.000;W;58.083;W;Paramaribo;5.500;N;55.100;W
Sweden;55.333;N;69.067;N;24.167;E;10.950;E;Stockholm;59.200;N;18.017;E
Switzerland;45.833;N;47.800;N;10.483;E;5.950;E;Bern;46.567;N;7.267;E
Syria;32.317;N;37.317;N;42.417;E;35.500;E;Damascus;33.283;N;36.167;E
Tajikistan;36.667;N;41.033;N;75.083;E;67.417;E;Dushanbe;38.317;N;68.467;E
Tanzania;11.750;S;0.983;S;40.483;E;29.167;E;Dodoma;6.067;S;35.450;E
Thailand;5.617;N;20.450;N;105.667;E;97.333;E;Bangkok;13.433;N;100.333;E
Togo;6.117;N;11.133;N;1.767;E;0.150;W;Lome;6.083;N;1.183;E
Tonga;22.350;S;15.600;S;173.717;W;175.633;W;Nuku'alofa;21.100;S;174.000;W
Tunisia;30.250;N;37.517;N;11.583;E;7.583;E;Tunis;36.500;N;10.100;E
Turkey;35.817;N;42.100;N;44.817;E;25.650;E;Ankara;39.567;N;32.533;E
Turkmenistan;35.150;N;42.833;N;66.667;E;52.417;E;Ashgabat;38.000;N;57.500;E
Tuvalu;10.800;S;5.650;S;179.850;E;176.050;E;Funafuti;8.300;S;179.117;E
Uganda;1.483;S;4.233;N;35.033;E;29.567;E;Kampala;0.200;N;32.283;E
Ukraine;44.383;N;52.367;N;40.250;E;22.250;E;Kiev (Russia);50.283;N;30.267;E
United Arab Emirates;22.633;N;26.083;N;56.400;E;51.550;E;Abu Dhabi;24.267;N;54.217;E
United Kingdom;49.867;N;60.850;N;72.500;E;130.733;W;London;51.350;N;0.050;W
United States of America;5.883;N;71.383;N;64.567;W;144.617;E;Washington DC;39.900;N;77.017;W
Uruguay;35.033;S;30.083;S;53.083;W;58.417;W;Montevideo;34.500;S;56.100;W
Uzbekistan;37.183;N;45.600;N;73.333;E;56.000;E;Tashkent;41.200;N;69.083;E
Vanuatu;20.250;S;13.117;S;170.217;E;166.550;E;Port-Vila;17.433;S;168.167;E
Venezuela;0.667;N;15.667;N;59.750;W;73.333;W;Caracas;10.300;N;66.533;W
Vietnam;7.850;N;23.367;N;109.500;E;102.133;E;Hanoi;21.050;N;105.533;E
Zambia;18.083;S;8.233;S;32.833;E;22.000;E;Lusaka;15.267;S;28.150;E
Zimbabwe;22.417;S;15.617;S;33.000;E;25.333;E;Harare;17.417;S;31.017;E
